Zona;Provincia;Canton;Distrito;Circuito;Fecha Infraccion;Hora_Infraccion;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad;Numero_asesinatos;Tipo_Arma;Presunta_Motivacion
ZONA 5;GUAYAS;SIMON_BOLIVAR;JUJAN SIMON BOLIVAR;SIMON BOLIVAR;2/6/2014;20:00;Homicidios;37;MASCULINO;UNION LIBRE;ECUADOR;6;REVOLVER            ;RIÑAS
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;GENERAL FARFAN;3/6/2014;14:00;Homicidios;46;MASCULINO;CASADO;COLOMBIA;4;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 5;GUAYAS;SIMON_BOLIVAR;JUJAN SIMON BOLIVAR;SIMON BOLIVAR;2/6/2014;20:00;Homicidios;41;MASCULINO;UNION LIBRE;ECUADOR;0;REVOLVER            ;DEUDAS
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO CENTRO;3/6/2014;21:30;Asesinatos;39;MASCULINO;UNION LIBRE;ECUADOR;3;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;VENEZUELA;4/6/2014;21:30;Asesinatos;35;MASCULINO;DIVORCIADO;ECUADOR;27;PISTOLA             ;RIÑAS
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;VALLE HERMOSO;3/6/2014;11:30;Asesinatos;51;MASCULINO;CASADO;ECUADOR;32;OBJETO CONTUSO;ROBO A PERSONAS
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;4/6/2014;17:20;Asesinatos;15;MASCULINO;SOLTERO;ECUADOR;26;PISTOLA             ;RIÑAS
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;PIMOCHA;5/6/2014;19:45;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;29;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;6/6/2014;4:00;Femicidios;28;FEMENINO;CASADO;ECUADOR;9;REVOLVER            ;ACTOS DE ODIO
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;6/6/2014;23:30;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;10;PISTOLA             ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;MAPASINGUE;7/6/2014;0:15;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR;6;NINGUNA;ROBO A PERSONAS
ZONA 1;ESMERALDAS;QUININDE;QUININDE;ROSA ZARATE;7/6/2014;21:00;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;9;CUCHILLO            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;7/6/2014;16:30;Asesinatos;42;MASCULINO;CASADO;ECUADOR;2;;RIÑAS
ZONA 8;GUAYAS;DURAN;DURAN;ARBOLITO;4/6/2014;0:00;Asesinatos;72;MASCULINO;SOLTERO;ECUADOR;1;CUCHILLO            ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;SAUCES;8/6/2014;6:00;Asesinatos;36;FEMENINO;SOLTERO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 6;AZUAY;CUENCA;CUENCA SUR;CAYAMBE;8/6/2014;1:00;Asesinatos;22;FEMENINO;SOLTERO;ECUADOR;3;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;GARCIA MORENO;8/6/2014;4:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;24;REVOLVER            ;RIÑAS
ZONA 4;MANABI;BOLIVAR;BOLIVAR JUNIN;MEMBRILLO;8/6/2014;19:15;Asesinatos;55;MASCULINO;DIVORCIADO;ECUADOR;4;CUCHILLO            ;SENTIMENTAL
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;BOMBOLI;5/6/2014;13:30;Asesinatos;36;MASCULINO;CASADO;ECUADOR;31;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 5;GUAYAS;EL_EMPALME;EL EMPALME;EMPALME SUROESTE;10/6/2014;12:25;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;19;CUCHILLO            ;DEFENSA PROPIA
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;9/6/2014;23:00;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR;14;CUCHILLO            ;RIÑAS
