Zona;Provincia;Canton;Distrito;Circuito;Fecha Infraccion;Hora_Infraccion;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad;Numero_asesinatos;Tipo_Arma;Presunta_Motivacion
ZONA 4;MANABI;PEDERNALES;PEDERNALES;COJIMIES;26/4/2014;10:30;Asesinatos;66;MASCULINO;CASADO;ECUADOR;0;OTRO;ROBO A PERSONAS
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL CENTRO;10/1/2014;22:00;Homicidios;36;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;SENTIMENTAL
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;ARGELIA;1/2/2014;17:30;Homicidios;20;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;MONTE SINAI;13/3/2014;19:30;Asesinatos;36;FEMENINO;SOLTERO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;LOS CHILLOS;CONOCOTO NORTE;21/1/2014;18:30;Homicidios;51;MASCULINO;CASADO;ECUADOR;0;REVOLVER            ;ACTOS DE ODIO
ZONA 3;PASTAZA;PASTAZA;PASTAZA;PUYO SUR;27/4/2014;9:00;Asesinatos;76;MASCULINO;SOLTERO;ECUADOR;0;GARROTE;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;BASTION POPULAR NORTE;12/4/2014;14:00;Asesinatos;31;MASCULINO;CASADO;ECUADOR;0;NINGUNA;ROBO A PERSONAS
ZONA 7;EL_ORO;HUAQUILLAS;HUAQUILLAS;HUALTACO;13/1/2014;13:30;Homicidios;37;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ACTOS DE ODIO
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SACHAS;9/1/2014;8:00;Homicidios;27;MASCULINO;SOLTERO;ECUADOR;0;MACHETE             ;ACTOS DE ODIO
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;27/1/2014;23:10;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR;0;;RIÑAS
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CENTRO;16/3/2014;3:00;Asesinatos;28;MASCULINO;UNION LIBRE;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MONAY;6/1/2014;19:45;Asesinatos;84;MASCULINO;CASADO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 9;PICHINCHA;QUITO;CALDERON;CARAPUNGO;22/1/2014;23:30;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;EMOCIONAL
ZONA 1;ESMERALDAS;QUININDE;QUININDE;QUININDE;8/3/2014;5:00;Asesinatos;30;MASCULINO;CASADO;ECUADOR;0;BARRA;ROBO A PERSONAS
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;LA_CONCORDIA;LA CONCORDIA;MONTE REY;21/3/2014;20:30;Asesinatos;61;MASCULINO;CASADO;ECUADOR;0;FUNDA;VIOLACION FAMILIAR DIRECTO (PERSONA CONOCIDA)
ZONA 7;EL_ORO;MACHALA;MACHALA;LA FERROVIARIA;10/3/2014;12:30;Homicidios;19;MASCULINO;SOLTERO;ECUADOR;0;OBJETO CONTUSO;RIÑAS
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;CHIMBACALLE;11/5/2014;4:00;Homicidios;25;MASCULINO;NO DETERMINADO;OTROS;0;CARTUCHERA          ;ROBO EN EJES VIALES O CARRETERAS
ZONA 4;MANABI;MANTA;MANTA;CENTRO;31/1/2014;12:00;Homicidios;38;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 3;CHIMBORAZO;RIOBAMBA;RIOBAMBA;LA CONDAMINE;1/1/2014;9:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 6;AZUAY;SANTA_ISABEL;GIRON;LA UNION;12/1/2014;4:45;Homicidios;50;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 9;PICHINCHA;QUITO;QUITUMBE;GUAMANI;4/3/2014;0:15;Homicidios;20;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;14/2/2014;1:00;Asesinatos;51;MASCULINO;SOLTERO;ECUADOR;0;CABLE;VIOLACION SEXUAL (DESCONOCIDO)
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;15/3/2014;2:30;Asesinatos;80;MASCULINO;CASADO;ECUADOR;0;CORTO PUNZANTE;RIÑAS
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;JAIME ROLDOS;18/1/2014;10:00;Homicidios;51;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 1;ESMERALDAS;QUININDE;QUININDE;LA UNION;16/3/2014;12:00;Homicidios;51;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO CENTRO;14/1/2014;18:00;Sicariatos;36;MASCULINO;SOLTERO;ECUADOR;0;PALO;LITIGIO DE BIENES
ZONA 7;EL_ORO;PORTOVELO;ZARUMA;PORTOVELO;20/4/2014;6:30;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;ROBO A DOMICILIOS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA ESPERANZA;19/4/2014;9:00;Asesinatos;27;MASCULINO;UNION LIBRE;ECUADOR;0;REVOLVER            ;ROBO A PERSONAS
ZONA 5;LOS_RIOS;VALENCIA;BUENA FE;VALENCIA;12/1/2014;20:30;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;ROBO A PERSONAS
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;EL PROLETARIADO;4/2/2014;14:00;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;0;CARTUCHERA          ;AMENAZA
ZONA 1;CARCHI;TULCAN;TULCAN;TUFINO;18/5/2014;6:45;Asesinatos;48;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL MIRADOR;27/2/2014;17:00;Homicidios;30;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 9;PICHINCHA;QUITO;CALDERON;CALDERON;9/4/2014;20:30;Asesinatos;54;MASCULINO;SOLTERO;ECUADOR;1;SOGA;ROBO A DOMICILIOS
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;16/3/2014;2:30;Asesinatos;42;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA SUR;13/4/2014;1:45;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;EMOCIONAL
ZONA 7;EL_ORO;EL_GUABO;PASAJE;RIO BONITO;21/2/2014;0:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;1/3/2014;22:30;Asesinatos;60;MASCULINO;SOLTERO;ECUADOR;0;CARTUCHERA          ;LITIGIO DE BIENES
ZONA 5;GUAYAS;PLAYAS;PLAYAS;PLAYAS;22/1/2014;;Homicidios;25;FEMENINO;SOLTERO;ECUADOR;0;CUCHILLO            ;SENTIMENTAL
ZONA 7;EL_ORO;MACHALA;MACHALA;GRAL SERRANO;10/1/2014;0:00;Asesinatos;45;MASCULINO;CASADO;ECUADOR;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;PUEBLO NUEVO;2/4/2014;18:30;Asesinatos;33;MASCULINO;CASADO;ECUADOR;0;CARTUCHERA          ;AMENAZA
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;11/3/2014;20:30;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO DE MOTOS
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;13/4/2014;19:30;Homicidios;25;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;ABIGEATO
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;ORQUIDEAS;16/3/2014;0:00;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR;0;OBJETO CONTUSO;ROBO DE CARROS
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CENTRO;14/4/2014;4:45;Asesinatos;16;MASCULINO;SOLTERO;ECUADOR;0;PALO;VIOLACION SEXUAL (DESCONOCIDO)
ZONA 5;GUAYAS;EL_TRIUNFO;EL TRIUNFO BUCAY;EL TRIUNFO ESTE;22/1/2014;6:00;Sicariatos;42;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 1;ESMERALDAS;QUININDE;QUININDE;LA UNION;7/5/2014;0:30;Homicidios;63;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL MIRADOR;2/3/2014;5:00;Homicidios;33;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;NUEVO GUAYAQUIL;21/3/2014;22:00;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR;0;OBJETO CONTUSO;ROBO A DOMICILIOS
ZONA 7;EL_ORO;EL_GUABO;PASAJE;RIO BONITO;24/4/2014;10:30;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;ROBO DE MOTOS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CHILE;15/4/2014;22:00;Asesinatos;31;MASCULINO;DIVORCIADO;ECUADOR;0;OTRO;ROBO A PERSONAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA BOTA;16/4/2014;3:20;Homicidios;24;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;RICAURTE;22/3/2014;5:45;Homicidios;69;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;1/3/2014;21:00;Homicidios;55;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;ABDON CALDERON;22/3/2014;16:00;Asesinatos;67;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;EL VECINO;9/4/2014;17:30;Asesinatos;;MASCULINO;NO DETERMINADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;FERROVIARIA;2/4/2014;7:00;Homicidios;29;MASCULINO;NO DETERMINADO;COLOMBIA;0;REVOLVER            ;RIÑAS
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SANTA MARTHA;12/1/2014;7:15;Homicidios;24;MASCULINO;SOLTERO;COLOMBIA;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 7;EL_ORO;MACHALA;MACHALA;PAEZ;28/3/2014;2:30;Homicidios;39;FEMENINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;ROBO A PERSONAS
ZONA 4;MANABI;MANTA;MANTA;CUBA;30/1/2014;22:30;Asesinatos;58;MASCULINO;SOLTERO;ECUADOR;0;OTRO;AMENAZA
ZONA 4;MANABI;MANTA;MANTA;LOS ESTEROS;30/7/2014;19:15;Asesinatos;31;MASCULINO;CASADO;ECUADOR;0;NINGUNA;RIÑAS
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;30/1/2014;17:45;Asesinatos;54;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO A DOMICILIOS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CHILE;22/3/2014;5:00;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;RIÑAS
ZONA 9;PICHINCHA;QUITO;QUITUMBE;TURUBAMBA;19/4/2014;3:30;Homicidios;36;MASCULINO;CASADO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;SUBURBIO;23/3/2014;0:00;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;ROBO A DOMICILIOS
ZONA 1;IMBABURA;IBARRA;CIUDAD BLANCA;LAS TOTORAS;31/1/2014;18:40;Homicidios;72;FEMENINO;DIVORCIADO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 4;MANABI;24_DE_MAYO;24 DE MAYO;BELLAVISTA;28/3/2014;0:45;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;DEUDAS
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;FLORIDA;6/4/2014;22:00;Homicidios;27;MASCULINO;SOLTERO;ECUADOR;0;PRENDA TEXTIL;EMOCIONAL
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;GALO PLAZA;31/1/2014;19:30;Asesinatos;23;MASCULINO;UNION LIBRE;ECUADOR;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;BASTION POPULAR NORTE;15/4/2014;19:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;0;NINGUNA;VIOLACION SEXUAL (DESCONOCIDO)
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;ANTEPARA;23/3/2014;23:00;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;ACTOS DE ODIO
ZONA 4;MANABI;MANTA;MANTA;CENTRO;9/1/2014;9:00;Homicidios;60;MASCULINO;CASADO;ECUADOR;0;CUERDA;ROBO DE CARROS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;TRINITARIA NORTE;21/4/2014;7:00;Homicidios;46;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;SAN FRANCISCO;28/3/2014;17:30;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 4;MANABI;PEDERNALES;PEDERNALES;ACHIOTE;14/2/2014;11:00;Homicidios;33;MASCULINO;SOLTERO;ECUADOR;0;NINGUNA;SENTIMENTAL
ZONA 1;IMBABURA;OTAVALO;VALLE DEL AMANECER;SAN LUIS;5/2/2014;10:00;Homicidios;40;MASCULINO;CASADO;ECUADOR;0;REVOLVER            ;ROBO DE MOTOS
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MONAY;10/4/2014;15:30;Asesinatos;20;FEMENINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;LA ROLDOS;20/4/2014;1:00;Homicidios;16;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;28/3/2014;16:00;Asesinatos;15;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;RIÑAS
ZONA 5;LOS_RIOS;VALENCIA;BUENA FE;LA NUEVA UNION;25/3/2014;11:30;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;0;MACHETE             ;AMENAZA
ZONA 6;AZUAY;CAMILO_PONCE_ENRIQUEZ;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;18/4/2014;6:30;Asesinatos;;MASCULINO;NO DETERMINADO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 5;LOS_RIOS;SAN_JACINTO_DE_BUENA_FE;BUENA FE;BUENA FE ESTE;27/4/2014;15:00;Homicidios;34;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;LITIGIO DE BIENES
ZONA 9;PICHINCHA;QUITO;QUITUMBE;GUAMANI;1/1/2014;3:30;Homicidios;22;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;ROBO DE MOTOS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;VICTORIA;24/4/2014;15:40;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;MONTE BELLO;29/3/2014;9:00;Asesinatos;74;MASCULINO;CASADO;CHILE;0;CORTO PUNZANTE;EMOCIONAL
ZONA 9;PICHINCHA;QUITO;QUITUMBE;ECUATORIANA;1/4/2014;22:45;Homicidios;35;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;ROBO A PERSONAS
ZONA 8;GUAYAS;GUAYAQUIL;9 DE OCTUBRE;CHILE;24/4/2014;12:00;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;13/3/2014;20:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;MALTRATO
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;31/3/2014;22:30;Sicariatos;28;MASCULINO;SOLTERO;ECUADOR;0;CARTUCHERA          ;AMENAZA
ZONA 8;GUAYAS;DURAN;DURAN;ARBOLITO;1/8/2014;1:30;Homicidios;33;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 6;AZUAY;CUENCA;CUENCA SUR;SAN SEBASTIAN;28/2/2014;0:00;Asesinatos;11;FEMENINO;SOLTERO;ECUADOR;0;PISTOLA             ;DEUDAS
ZONA 3;CHIMBORAZO;RIOBAMBA;RIOBAMBA;LICTO;21/1/2014;17:00;Asesinatos;1;FEMENINO;SOLTERO;ECUADOR;0;NINGUNA;SENTIMENTAL
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;EL GUABITO;9/2/2014;1:15;Asesinatos;42;MASCULINO;UNION LIBRE;ECUADOR;0;CUCHILLO            ;ROBO DE CARROS
ZONA 5;GUAYAS;SALITRE;SALITRE;JUNQUILLAL;31/1/2014;22:00;Homicidios;33;FEMENINO;SOLTERO;ECUADOR;1;REVOLVER            ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 8;GUAYAS;GUAYAQUIL;SUR;7 LAGOS;2/4/2014;13:30;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR;1;REVOLVER            ;AMENAZA
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;VERDE LOMA;17/4/2014;21:00;Asesinatos;47;MASCULINO;DIVORCIADO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 5;GUAYAS;BALAO;NARANJAL BALAO;SAN CARLOS;22/1/2014;14:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;0;CARTUCHERA          ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;FLOR DE BASTION;27/4/2014;20:00;Asesinatos;32;FEMENINO;CASADO;ECUADOR;0;CARTUCHERA          ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 7;EL_ORO;SANTA_ROSA;SANTA ROSA;TORATA;1/1/2014;17:00;Asesinatos;40;FEMENINO;SOLTERO;ECUADOR;0;MACHETE             ;SENTIMENTAL
ZONA 3;COTOPAXI;LATACUNGA;LATACUNGA;SAN CARLOS;21/2/2014;18:45;Asesinatos;44;MASCULINO;DIVORCIADO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;COCHAPAMBA;29/3/2014;0:00;Homicidios;40;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 5;LOS_RIOS;QUINSALOMA;VENTANAS;QUINSALOMA;2/2/2014;4:30;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR;0;NAVAJA;AMENAZA
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;MONJAS COLLACOTO;17/1/2014;11:30;Homicidios;29;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;NARANJAL SUR;23/1/2014;15:30;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;EMOCIONAL
ZONA 5;BOLIVAR;SAN_MIGUEL_DE_SALCEDO;SAN MIGUEL;BALSAPAMBA;15/3/2014;10:00;Asesinatos;47;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;FLOR DE BASTION;27/4/2014;20:00;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR;2;PISTOLA             ;ROBO A PERSONAS
ZONA 5;GUAYAS;BALZAR;BALZAR;BALZAR CENTRO;2/3/2014;20:30;Homicidios;34;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 4;MANABI;EL_CARMEN;EL CARMEN;EL CARMEN;30/1/2014;5:20;Asesinatos;50;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;INAQUITO;28/4/2014;9:30;Homicidios;59;FEMENINO;CASADO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 5;LOS_RIOS;VALENCIA;BUENA FE;VALENCIA;16/1/2014;14:20;Homicidios;35;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO A DOMICILIOS
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;FLOR DE BASTION;7/4/2014;23:00;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;ARGELIA;18/1/2014;2:30;Homicidios;73;FEMENINO;VIUDO;ECUADOR;0;PRENDA TEXTIL;VIOLACION FAMILIAR DIRECTO (PERSONA CONOCIDA)
ZONA 1;IMBABURA;IBARRA;CIUDAD BLANCA;AMAZONAS;20/4/2014;12:00;Asesinatos;37;FEMENINO;SOLTERO;ECUADOR;0;REVOLVER            ;ROBO A DOMICILIOS
ZONA 7;EL_ORO;PASAJE;PASAJE;LAS PRADERAS;17/4/2014;0:00;Asesinatos;25;FEMENINO;SOLTERO;ECUADOR;0;;MALTRATO
ZONA 5;GUAYAS;SALITRE;SALITRE;SALITRE SAUCES;3/3/2014;12:00;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA ESPERANZA;1/1/2014;16:00;Asesinatos;51;MASCULINO;SOLTERO;ECUADOR;0;REVOLVER            ;AMENAZA
ZONA 5;GUAYAS;SAN_JACINTO_DE_YAGUACHI;YAGUACHI;VIRGEN DE FATIMA;13/3/2014;12:30;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;SUR;GUASMO;10/4/2014;18:30;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;LOS CHILLOS;AMAGUANA CENTRO;5/2/2014;11:45;Homicidios;34;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 5;LOS_RIOS;PUEBLO_VIEJO;PUEBLOVIEJO;PUEBLO VIEJO;21/3/2014;20:00;Asesinatos;29;MASCULINO;CASADO;ECUADOR;0;OBJETO CONTUSO;AMENAZA
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;SAN MATEO;17/1/2014;8:00;Asesinatos;48;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 5;GUAYAS;MILAGRO;MILAGRO;ALMEIDA;7/3/2014;10:00;Asesinatos;48;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 7;EL_ORO;EL_GUABO;PASAJE;LA IBERIA;6/5/2014;23:00;Homicidios;14;FEMENINO;SOLTERO;ECUADOR;0;ROCA;RIÑAS
ZONA 5;LOS_RIOS;MOCACHE;QUEVEDO;MOCACHE;7/2/2014;0:00;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;EUGENIO ESPEJO;INAQUITO;26/3/2014;15:30;Homicidios;57;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 5;LOS_RIOS;PUEBLO_VIEJO;PUEBLOVIEJO;PUEBLO VIEJO;21/3/2014;20:00;Asesinatos;46;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;ROBO A PERSONAS
ZONA 7;LOJA;MACARA;MACARA;MACARA;19/4/2014;19:00;Asesinatos;38;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;LOS CHILLOS;AMAGUANA CENTRO;5/2/2014;11:45;Homicidios;63;MASCULINO;CASADO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;UNIVERSIDAD;27/1/2014;5:40;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR;0;CUCHILLO            ;RIÑAS
ZONA 7;EL_ORO;ARENILLAS;HUAQUILLAS;LA LIBERTAD;4/1/2014;14:00;Asesinatos;18;MASCULINO;SOLTERO;ECUADOR;1;PISTOLA             ;DEUDAS
ZONA 9;PICHINCHA;QUITO;MANUELA SAENZ;PANECILLO;25/4/2014;23:00;Homicidios;38;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;LA_CONCORDIA;LA CONCORDIA;MONTE REY;21/4/2014;23:30;Asesinatos;23;FEMENINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;RIÑAS
ZONA 5;GUAYAS;ISIDRO_AYORA;PEDRO CARBO;ISIDRO AYORA;13/3/2014;20:30;Asesinatos;77;MASCULINO;VIUDO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 6;CANAR;LA_TRONCAL;LA TRONCAL;TRONCAL CENTRO;11/4/2014;21:30;Asesinatos;52;MASCULINO;CASADO;ECUADOR;0;ESCOPETA            ;LITIGIO DE TIERRAS
